sentiment|review
-1|I've stayed at this property a few times in San Diego. While the doors do not properly fit and the rooms are not the cleanest it was more out of convenience than anything. Three weeks ago I stayed at this property and they charged me for an extra night. I gave them weeks to respond. I have given the management at this hotel and the accounting weeks to respond but they haven't even tried. I've left emails, voice mails, and one person in accounting said they would get back to me. I have now wasted hours on this issue.
-1|I booked site unseen as I am a Best Western Rewards member. This hotel is older than the seven seas! The outside is old and needs maintenance, appearing more like a highway side trucker motel than a hotel. Rooms are old and musty, with water and moisture damage radiating from the bottom of the exterior door and bathroom door. I know it's moist in San Diego, but doesn't necessarily mean the room should smell moldy. Room appeared clean at first glance, but tile floor in shower/toilet area needed scrubbing and vanity looked like it was never dusted. Shower water was luke warm.,
-1|I checked out and moved to another Best Western in town right after I checked in to this hotel. Checking in experience was very bad, desk clerk was poorly trained. I was assigned to room 159. It was a non-smk room, but has a big ashtray installed right on the wall outside the room door. The room smells so bad, they sprayed so much air fresher trying to cover the smell from odor smoking but made it worse. I found so many hairs on the bed sheet, there's a big area of yellow stains on the sheet as well, I wonder if they change the sheets after each check out or not. I went to the desk checked out, they charged me for the night anyways, without any apologize. I left my phone number for the manager to call me back, one week past, they never call me back. I gave them more than enough chance to solve the problem, but I guess they rather prefer me to share my experience with the public.So, if you don't care about the cleanness, don't care about the service, don't care get you and your family sick, don't care about they will ruin your vacation, go ahead book your room at this hotel!!
-1|The room was ok. I stayed there from Friday to Monday. We couldn't even get a late check out. Check out was at 12. And we were only able to get until 12:30, and even then, they made it seem like a complete hassle. The internet was terrible. It would go in and out the entire time. As we were checking out, we wanted to microwave some food and were told the guest microwave was broken. We asked if there was another microwave we could use and were told the only one the guests could use was broken. Also, I've stayed in my fair share of hotels, and when I've booked through the hotel directly, as I did for this trip, I never had to pay the full amount upon check-in. I would pay a deposit and then be charged this full amount upon check-out. But here, I had to pay for the room, plus a deposit when I checked in. I thought that was weird. When we got into the room, it was hot and muggy. The A/C hadn't been turned on before our arrival (something I thought was common practice). Thankfully, we had our own fan to use while we waited for the A/C to kick in. Also, the fridge had been unplugged, so we had to wait to use that as well. I don't know if they don't clean very well or what, but the entire time I was in the hotel room, my allergies acted up. I've traveled to San Diego many times and stayed in various hotels and never before were my allergies affected until this time. Also, the last night of the trip, the fire alarm started chriping with a low battery every 30 secs starting around 5am or so. The best thing about the hotel was its location, but I couldn't see myself coming here again. It was in Hotel Circle, so I could throw a rock and hit another hotel I could stay in.
-1|This hotel in on Hotel Circle not far tho old san diego, but really near from highways. The room was cleam, but really small. There is a restaurant and a free access to Internet. Cheap, but you could maybe find something more interestinf near the ocean. You could maybe have a few difficulties to park your car (there aren't many places in the area. Here, you will see only the cars...,
-1|The freezing pool. The broken jacuzzi. The unfriendly staff. The rattley old refrigerator in the room. The only cheapest harsh bright white lights used, no night lights. We could hear everyone above and beside us, so the construction of this place is very poor.
-1|I basically live out of hotels and this is the WORST I have ever seen. Staring with parking you are paying 12.00 for a spot that you have to do a 3 point turn to get into and my Camry almost didnt fit into. The room was super small for being a family suite and everything was cramped. The was enough space between the foot of the bed and the tv table was wide enough for a vacuum to fit though as well as the space between the bed and the wall. The second room was divided by a French door only the fixed side of the French door had window covering so there is no privacy between rooms and the lights from either room shines into each other. The AC was weak and smelt like mold. The second room never got air and by the time you go to the bathroom forget it just open the window to let the air in. There is no circulation, except what was provided by a large fan in the wall between rooms that was extremely loud and reminded me of an attic fan. One good thing the bed was comfortable for a single night stay. This location does offer breakfast, but after making a waffle and getting a plate together and sitting down to eat each of us took a bite and ended up at Dennys down the street. I wasnt expecting a Hilton or the Ritz Carlton, but I was expecting something a little higher than what ended up looking like highway motel. Lucky for us we were there only one night before heading home to Los Angeles.
-1|We stayed at this hotel last year for 10 nights and while the rooms weren't completely up to date, it was clean, had extra room, breakfast was decent, and for the price we felt we got a great deal. Based on our past experience, we booked again for a family reunion and referred our family to also book this hotel. We arrived late at night and check in was fine. The lobby still looked nice and the elevator was still slow like we remembered. The first thing we noticed when we got to our room and turned the bed down were the yellow stains on the sheets. At this point I wasn't sure if the sheets had been laundered and they were permanent stains, or if the sheets had not been changed. I called the front desk and they had me come get a new set of sheets. By the time I got back up to the room, my husband had discovered the towels hanging in the bathroom had fresh lipstick/makeup all over them. I went back to talk to the front desk and the employee decided it was time to try a different room. Room 2 had a ant on top of the pillows on the bed and when we turned down the bed and pulled the pillows away from the headboard out ran 10 more. Back to the front desk we went and were now headed off to room 3. When opening the door to Room 3 we were immediately hit with what I can only describe as B.O. and it was potent. I called the front desk and told them about the smell and told them we would tough it out for the night as it was getting super late and we had a baby with us. I asked when the manager would be in the next day and was told 10 a.m. I ran the air vent on the airconditioner and also turned on the bathroom exhaust fan all night. The next morning the smell was as bad as ever. It literally was oozing out of everything in the room-the mattress, the couch. There were ants in this room also, but they were crawling on the wall instead of instead of in the bed. I headed down to visit with the manager of the hotel and found he was out due to an emergency. I expressed my concerns to the staff that was there (the housekeeping supervisor and a young gentleman) and asked to cancel the rest of my stay as well as the reservations for my family that would be arriving in town later in the week. The housekeeping supervisor came up to the room and acknowledged the smell and thought that it was possibly wet carpet-my opinion was that the room smelled due to body odor and not cleaning the room thoroughly. The only rooms the hotel had left were double rooms and she offered to let me walk through one before moving all of my belongings again, but I declined as we had already switched rooms 3 times and I also was very concerned about how many times my family coming into town would have to switch rooms to find an acceptable one.This hotel has drastically gone down hill in cleanliness since we stayed here last year. The linens in all of the rooms were stained and the towels were threadbare and grey. There were ants in 2 of the 3 rooms we checked into that night. I felt this hotel was along the lines of a motel 6 at best. Free breakfast cannot make up for a filthy hotel that is not being cleaned properly. We actually witnessed a maid RUNNING into and out of a room in less than 5 minutes. How do you clean a room that fast And we certainly didn't see a vacuum. We were wondering if the maids were paid by the room and not the hour. I do want to say the front desk staff was very accommodating and tried their hardest to find an acceptable room and I appreciate that they were willing to cancel our reservations when they realized their hotel had too many issues. ****PLEASE HIRE A SUPERVISOR FOR YOUR MAIDS AND INVEST IN REPL.ACING OLD/STAINED LINENS AND TOWELS***
-1|We stayed here on October 9-12 and the entire weekend the ice machines and soda machine on our floor was out of order. I did not check the other floors' soda machines. The parking was 12 a night and very tight for out Yukon XL. The breakfast was good and the beds were comfortable.
-1|The only thing nice that we saw here was the pool, which looked clean and fresh (unfortunately, I didn't bring a suit). The place has very, very old and beat up furniture and was either too hot or too cold -- the heating systems are terrible, built under the window as in older cheap properties and then the beds are behind some sliding doors, so you have to leave those doors open if you want any cooling. The breakfast in the morning is really disgusting. They seem to have people making the breakfast who know nothing about what coffee is supposed to look like, for example, or what bacon strips look like. They had a whole container full of picnic bacon, which is just scraps of pork in no particular shape, generally used as bacon pieces for other foods. And here it is in their hot breakfast like you are supposed to dive in and just eat those bacon scraps as if they are slices of morning bacon. Not me!The coffee maker in the room saved the day for us, because it was actually much better than expected. In a general sense, this room was not the quality that we expected for what we paid, and we were generally disappointed. Complicating the situation, we asked for a wake up call at 10:06 PM one night, and they promised to call. We were never awakened and it caused some big problems. I hope the attached photos help people understand why they should avoid this property.,
