sentiment|review
1|Great staff and rooms. Housekeeping was always spot on--we never saw them come in, and it was in perfect order when we came back to our rooms. The hotel is close to everything, French Quarter, museums, business district, etc. And we got a GREAT price for our stay. It's an excellent value--highly recommend to anyone visiting New Orleans!
1|Very accommodating staff. Competitive pricing for downtown N.O. convenient location. Comfortable room. Good food in restaurant. Broken exercise equipment. 'fitness club' is a bit of a misnomer. We can recommend this to anyone else for a good place to stay with great location for many attractions.
1|Room was much larger than I expected, and water and fridge were offered for my room - had everything I needed. Nice basic breakfast was included. Room was very clean and everyone here was friendly! Would stay again. ,
1|This is an old hotel in very good location. A 5 minute walk to Bourbon Street and Harrahs' Casino. A 15 min walk will get you to Caffe DuMonde and the French Market. Although old, the hotel is well kept and the staff is efficient. I found the room a little bit small, but confortable.
1|The hotel is historic and yet modern. Full of history. The hotel is conveniently located in the heart of New Orleans. Blocks from the French Quater and the Riverfront. The staff was very courtis and very knowledgeable. Always there to help get you where you want to be. Just one block to Mothers one of the local best restaurants. Totally enjoyed my stay
1|This hotel aptly named the Whitney Hotel as it was the location of the Whitney Bank.Several of the features of the bank era are there to be seen such as the strong room doors and related features.This hotel is in a very good location very close to local transportation - buses and streetcars.A short walk takes you to many places to eat, drink and shop.Less than ten minutes walk to Canal Street, Bourbon Street and Royal Street.Pleasant ambience, friendly staff and comfortable rooms. We had a noisy air con and after underlining our concerns were moved to another room and provided with free on the house breakfast.The hotel has partnership with some eating/licensed businesses plus a two for one offer for Mardi Gras World.
1|Such a beautiful hotel! LOVED the lobby and the bank vault. It was so unique and interesting. Our suite was so beautiful and very comfortable. We would like to thank the staff for taking such good care of us.Your knowledge of your wonderful city was so helpful.
1|Our room was beautiful, the location was wonderful just a couple of blocks from shopping, Bourbon Street and an easy walk to Jackson Square. There are great restaurants in walking distance as well as the restaurant in the hotel. Dinner in the vault was fabulous.The service was outstanding.Even one of the maintenance men held doors for me and gave great advice on where to eat. Loved it and can't wait to go back. Thanks especially to Jason who really took great care of us.
1|Excellent service and location was perfect. Have been in New Orleans numerous times so we didnt need to be in the heart of French Quarter which could be very noisy. dont get me wrong, love a good time let the good times roll but when I want to sleep I prefer quite.. Staff very helpful , great new restaurants in warehouse district....
1|Recently stayed at the Whitney Hotel in New Orleans. The hotel was an exceptional experience from the old 1910 building to the amazing queen suite. We would make any future visits to New Orleans included a stay at the Whitney Hotel. Front desk staff helpful, friendly and very informational about locations in the city. Parking was somewhat priced out there but the valet service took good care of our truck and promptly brought it to us when we called for it. Would recommend this hotel to anyone that wants to experience New Orleans in actual history and ambience.,
1|What a wonderful weekend spent with my husband. Staff, Food, Rooms, everything was great. So welcoming and professional from arriving to departure. Location is perfect. Not to busy, but many thing within walking distance to explore in the big city. Defiantly will be back soon... Wouldn't stay anywhere else! ,
