|sentence|word|label
0|0|Super|O
1|0|smestaj|B-FURNITURE
2|0|.|O
3|0|.|O
4|0|.|O
5|0|.|O
6|0|ima|O
7|0|sve|O
8|0|sto|O
9|0|je|O
10|0|potrebno|O
11|0|,|O
12|0|a|O
13|0|za|O
14|0|zimski|B-WEATHER
15|0|period|I-WEATHER
16|0|apartman|O
17|0|topao|O
18|0|-|O
19|0|Vrh|O
20|0|.|O
21|0|Jezero|B-LOCATION
22|0|je|O
23|0|na|O
24|0|par|O
25|0|koraka|O
26|0|,|O
27|0|sto|O
28|0|znaci|O
29|0|i|O
30|0|centar|B-LOCATION
31|0|,|O
32|0|al|O
33|0|u|O
34|0|krugu|O
35|0|apartmankog|O
36|0|naselja|O
37|0|uvek|O
38|0|je|O
39|0|tisina|O
40|0|sto|O
41|0|mi|O
42|0|je|O
43|0|najbitnije|O
44|0|.|O
45|0|Vlasnica|B-PERSONNEL
46|0|Olja|I-PERSONNEL
47|0|je|O
48|0|covek|O
49|0|kojeg|O
50|0|treba|O
51|0|upaznati|O
52|0|.|O
53|0|.|O
54|0|.|O
55|0|.|O
56|0|srdacna|B-PERSONNEL
57|0|,|O
58|0|druzeljubiva|B-PERSONNEL
59|0|,|O
60|0|usluzljiva|B-PERSONNEL
61|0|itd|O
62|0|.|O
63|0|Znaci|O
64|0|,|O
65|0|ni|O
66|0|ste|O
67|0|u|O
68|0|centru|O
69|0|a|O
70|0|kao|O
71|0|da|O
72|0|jeste|O
73|0|,|O
74|0|ali|O
75|0|bez|O
76|0|onog|O
77|0|svakodnevnog|O
78|0|.|O
79|0|.|O
80|0|.|O
81|0|.|O
82|0|urbanog|O
83|0|.|O
84|0|Cool|O
85|1|Olivera|B-PERSONNEL
86|1|:|O
87|1|)|O
88|1|Puno|O
89|1|putujemo|O
90|1|,|O
91|1|ali|O
92|1|ovakvog|O
93|1|domaćina|B-PERSONNEL
94|1|nismo|O
95|1|imali|O
96|1|.|O
97|1|Brižna|B-PERSONNEL
98|1|,|O
99|1|pažljiva|B-PERSONNEL
100|1|,|O
101|1|od|O
102|1|pomoći|O
103|2|Apartman|B-FURNITURE
104|2|prelep|O
105|2|,|O
106|2|ispunjava|O
107|2|potrebe|O
108|2|cele|O
109|2|porodice|O
110|2|,|O
111|2|rado|O
112|2|cemo|O
113|2|ponovo|O
114|2|doci|O
115|3|Smeštaj|B-FURNITURE
116|3|uredan|B-HYGIENE
117|3|i|O
118|3|čist|B-HYGIENE
119|3|,|O
120|3|Olja|B-PERSONNEL
121|3|kao|O
122|3|domaćin|B-PERSONNEL
123|3|izvanredna|O
124|3|,|O
125|3|niko|O
126|3|nam|O
127|3|još|O
128|3|nije|O
129|3|bio|O
130|3|na|O
131|3|usluzi|B-PERSONNEL
132|3|kao|O
133|3|ona|O
134|3|.|O
135|3|Konačno|O
136|3|smo|O
137|3|i|O
138|3|za|O
139|3|u|O
140|3|buduće|O
141|3|našli|O
142|3|smeštaj|B-FURNITURE
143|3|koji|O
144|3|nam|O
145|3|odgovara|O
146|3|.|O
147|4|lokacija|B-LOCATION
148|4|i|O
149|4|opremljenost|B-FURNITURE
150|4|objekta|I-FURNITURE
151|4|.|O
152|4|objekat|O
153|4|je|O
154|4|opremljen|O
155|4|svim|O
156|4|potrebnim|O
157|4|sadrzajima|O
158|4|.|O
159|4|namestaj|B-FURNITURE
160|4|kvalitetan|O
161|4|i|O
162|4|funkcionalan|O
163|4|.|O
164|4|posudja|B-FURNITURE
165|4|i|I-FURNITURE
166|4|sredstava|I-FURNITURE
167|4|za|I-FURNITURE
168|4|ciscenje|I-FURNITURE
169|4|u|O
170|4|izobilju|O
171|4|.|O
172|4|prelepa|O
173|4|terasa|B-FURNITURE
174|4|.|O
175|5|Trebalo|O
176|5|bi|O
177|5|postaviti|O
178|5|kontejnere|O
179|5|u|O
180|5|krugu|O
181|5|objekta|O
182|5|(|O
183|5|recimo|O
184|5|na|O
185|5|kraju|O
186|5|ulice|B-LOCATION
187|5|Belih|I-LOCATION
188|5|rada|I-LOCATION
189|5|)|O
190|5|a|O
191|5|od|O
192|5|opreme|O
193|5|u|O
194|5|objektu|O
195|5|dodati|O
196|5|mikrotalasnu|B-FURNITURE
197|5|pecnicu|I-FURNITURE
198|5|.|O
199|6|Lokacija|B-LOCATION
200|6|,|O
201|6|domaćica|B-PERSONNEL
202|6|,|O
203|6|ambijent|O
204|7|svaka|O
205|7|preporuka|O
206|8|Mnogo|O
207|8|reči|O
208|8|a|O
209|8|sve|O
210|8|stanu|O
211|8|u|O
212|8|-|O
213|8|savršeno|O
214|8|.|O
215|8|Odmor|O
216|8|koji|O
217|8|će|O
218|8|moji|O
219|8|klinci|O
220|8|pamtiti|O
221|8|zauvek|O
222|8|.|O
223|8|Mi|O
224|8|smo|O
225|8|svoje|O
226|8|mesto|O
227|8|na|O
228|8|Zlatiboru|B-LOCATION
229|8|našli|O
230|8|a|O
231|8|i|O
232|8|novu|B-PERSONNEL
233|8|prijateljicu|I-PERSONNEL
234|8|.|O
235|9|Izvanredan|O
236|9|smeštaj|B-FURNITURE
237|9|i|O
238|9|ljubaznost|B-PERSONNEL
239|9|domaćina|I-PERSONNEL
240|10|Higijena|B-HYGIENE
241|10|,|O
242|10|dvoriste…|B-LOCATION
243|11|Slab|O
244|11|pritisak|O
245|11|vode|O
246|11|,|O
247|11|slab|O
248|11|wi|O
249|11|fi|O
250|12|Nije|O
251|12|mi|O
252|12|se|O
253|12|dopalo|O
254|12|sto|O
255|12|u|O
256|12|apartmanu|O
257|12|neradesve|O
258|12|sijalice|B-FURNITURE
259|12|i|O
260|12|poprilično|O
261|12|je|O
262|12|mracno|O
263|12|a|O
264|12|i|O
265|12|trava|O
266|12|je|O
267|12|neursdna|B-HYGIENE
268|12|nije|O
