sentiment|review
-1|Najveca zamerka je na veliki broj mrava u apartmanu. To je islo dotle da celu noc nisam mogla normalno da spavam posto su mravi gmizali po meni. To je zaista neprihvatljivo i za najgore hostele, a ne za ovakav smestaj. Ujutru sam mrave izbacivala iz torbe, sa laptopa itd. U smestaju je uvece hladno, dnevnu sobu i kuhinju greje samo jedan mali radijator sto nije dovoljno. Takodje na slikama smestaja ima bazen, ali je to bazen koji je u Milmari hotelu udaljenom 2km od vile, a ovoga puta nije ni radio sto nigde nije pisalo prilikom rezervacije.
-1|Bilo bi pozeljno da svaka soba poseduje cajnik i mikrotalasnu pec i da su parking mesta bolje definisana i sredjena.
-1|..nismo dobili apartman koji smo rezervisali uz objašnjenje da im je "gužva" i da se u istoj nisu baš najbolje snašli.Jedina svetla tačka je bila gospođa Biljana koja nas je dočekala i pokušala da ublaži propuste od njenih kolega..i još da napomenem da je gospođa Biljana radnik na recepciji , spremačica , domar , domaćin..
-1|Francuski ležaj je u sobi na spratu iako postoji još jedna soba u prizemlju koja je dovoljno velika za takav krevet i što bi zbog grejanja bilo prijatnije u zimskom periodu.
-1|Jedina mana je bila zvucna izolacija, tj ne postoji, zvuk se ne smanjuje kroz zidove. A bilo bi i savrseno da su svi zidovi u lamperiji...ovo nije mana vec sugestija :)
-1|Soba je mala, utičnica je visoko, pa je malo nezgodno. Kupatilo je u redu, mada sam očekivala da je soba prostranija. Pojedine sprave u teretani nisu valjano radile, a i spa i wellness centar su bili zatvoreni. U restoranu sam čekala 45 minuta da mi se donese porudžbina jer nemaju kuhinju u hotelu već iz eksternog restorana dostavljaju hranu.
-1|Bilo komaraca u sobi
-1|Nije radila kablovska i nije bilo tople vode
-1|Morali su da nam zamijene hotel jedan dan prije puta što nam nije ostavilo dovoljno vremena da pronađemo alternativni smještaj već smo morali da prihvatimo njihovu alternativu i da budemo smješteni u njihovom drugom hotelu koji je manje kvalitetan. 10 dana smo imali isti doručak.
-1|Soba je de-facto u podrumu. Prozorče na 2.5m visine i to pored kolovoza za parking, u njegovom nivou.
-1|Tri puta sam boravio kod vas i svaki sledeci je bio znatno lošiji od prethodnog. Podrumski smještaj iako sam rezervisao mnogo ranije. U tuš kabini se zadržava voda, prozori, iako podrumski, u tuš kabini i wc bez zastora, rijedak zastor na prozoru sobe, pored jednog kreveta nema noćne lampe, oko vrata prodire svijetlo čitavu noć.
-1|Soba 002 je u podrumu sa minimumom prirodnog svjetla, a naplaćena je kao bilo koja normalna soba. Jako neugodno iznenađenje. Buđ u tuš kabini je uračunata u cijenu. Prilaz hotelu je veoma nezgodan iz pravca aerodroma jer se nalazi doslovno usred prometne raskrsnice."
-1|Pogled sa prozora
-1|Minijaturna soba
-1|sobe su zaista premale, dorucak oskudan
-1|Jastuci su pre mekani. Pitala sam na recepciji ali rekli su da samo te imaju. Sobe za jednu osobu su veoma male. Doručak je bio dobar ali kada sam pitala za svježe napravljena jaja rekli su da moram doplatiti.
-1|Manjak parking mjesta hotela je problematičan, što je, čini se, slučaj kod većine gradskih hotela. Trebali bi navesti da je broj parkirnih mjesta ograničen i da ih čuvaju po redoslijedu prijava i rezervacija.
-1|Kupatilu mozda fali neka grejalica, ume da bude hladno
-1|Bucni gosti
-1|smeštaj mnogo manji nego što je prikazano na fotografijama, vešto fotografisano. To je u stvari samo soba sa franc.ležajem, bez predsoblja, a prozor na sobi gleda na fasadu susedne kuće udaljene pola metra !
-1|Ozbiljna buka iznad smestaja i to sto nam nije receno da nema klima uredjaja.
-1|Roletne bi mogle bolje da funkcionišu.
-1|Dorucak da se ubaci u smestaj
