title,text,rating,sentiment
Historic Gem Hotel in Business District of New Orleans,"Stay at The Whitney to capture a sense of the history of New Orleans with its actual bank vault door decor, and location that is right in the heart of New Orleans great for business but close to the French Quarter for fun. It's clean, comfortable, has amenities, and is a great location, friendly too. ",5,1
Quick jaunt,"Overall, good trip. Clean and friendly! It was mid summer when we stayed and we prefer ice cold room. Couldn't get it cool enough. Bed was comfy. Pillows a bit too thick for us. Cold water at faucet was warm to hot. Shower temp was perfectly hot. Would recommend more mirrors in room. A safe would be good addition and fridge. Enjoyed continental breakfast. Would stay at this beautiful hotel again.",5,1
Will stay again,Our recent stay at the Whitney was overwhelmingly nice. The hotel is housed in the historic old Whitney Bank Building. The reception desk was once the teller desk and the old vault is located in the lobby. Our suite was very large with two rooms. The master bedroom was quite spacious and was separated from the sitting area by French doors. The sitting area had a sofa bed it's own television. The bathroom was also very spacious. The hotel offers free internet as well as complimentary coffee. There is a restaurant located in the lobby. The staff was very helpful and courteous. The hotel is located right off of Saint Charles Avenue which is very convenient during Mardi Gras and only a half a mile from the French Quarter. I will be staying again!!!,5,1
"Great location, quiet, boutique hotel","I have stayed at the Whitney many times for business, back when it was a Wyndham property and now that it is a New Orleans Collection Hotel. Staff is friendly and efficient, rooms are clean. At some point soon they will need to address carpet as it is getting dated, but OK now. Bar downstairs is good as is restaurant. We ate breakfast a couple of times at Cafe on the Square around the corner and had good experiences.",5,1
Excellent accommodations,"We thoroughly enjoyed our stay at The Whitney. The beds were very comfortable. The location is superb. It is walking distance to everything we did, French Quarter, Bourbon Street, shopping, Harrah's, etc. We will definitely stay here during our next trip to New Orleans. The staff was rather gracious as well. Loved it!!!!",5,1
Great Hotel,"Super friendly and accommodating staff. Staff bent over backwards to assure we had a great stay. Always ice cold water, news papers and vacation information in the lobby. Great restaurant recommendations. We ubered from the airport 33-55 . You do not need a car in the city. Street car on one side of hotel. 2 blocks to French quarter and bourbon street. Near casino and ww2 museum. Beds super comfortable and hotel is really clean.",5,1
Great place,"We enjoyed the hotel. Location was great walking distance to many sites. Paying to park was a surprise, but we decided that was better than staying further away and worrying about parking.Hotel was absolutely beautiful. Very nicely maintained. No old hotel odor. Staff was friendly and accommodating. The room was nice, very comfortable kept very clean by friendly housekeeping staff. Lovely city view. Traffic noise was noticeable. Bathroom was good sized, had a great shower, and was nicely kept. Restaurant was beautiful. Food adequate but not exceptional. Limited hours. Service friendly but I actually got up to get my own coffee refills one morning even though only two tables had customers. Overall a great experience and we would definitely stay again and recommend it to others.",4,1
Great location and services at the right price,"on the edge of the french quarter, easy access, courteous service, efficient, clean, valet parking, personalized welcome, correct price. Not for a romantic stay but perfectly fine for business or family stay",5,1
Highly enjoyable stay,"I found this hotel online, and it came highly recommended. It was convenient to everywhere in the city I wanted to go, though its location on Poydras street did mean the mornings were a little noisier than I expected due to the traffic, but you can't fault them for that. I had occasional difficulty with my room key working but still always got into my room. I didn't realize at booking that the hotel doesn't have a bar/restaurant and the room didn't have a refrigerator but that was my fault for not checking. Overall the staff was incredibly helpful, friendly, and made my stay. The hotel is very unique and original due to its history and not like every out-of-the-box hotel you find these days. It was nice to stay in a place with such character.",5,1
Mardi Gras Vacation,"We had a wonderful stay at the Whitney hotel. The front desk staff headed by Patrick were the best that I have ever experienced. They were extremely helpful in making reservations at great restaurants, guided us through the craziness of Mardi Gras and were always friendly and helpful in every way. The rates were a good value and the location was ideal.",5,1
The Best Time!,"Spontaneous weekend getaway. Estes Park Condos did not disappoint. This place is even more magical than the website makes it seem! Staff was very accommodating with our late check in and check out. We stayed at Antlers Point 5, private hot tub, grill, fireplace, HBO, dvd player, full bathroom and full kitchen. Very cozy and welcoming. Perfect for a couple",5,1
Great Mountain Getaway,"I and my wife stayed here with two other couples. we had a loft, a queen bed, Another bedroom and a queen sleeper sofa in the living room. All areas had TV's. The condo overlooked the big Thompson river. you could here the river running at night. Very clean and everything is very nice .. all services worked..",5,1
Wonderful place to relax!,"We rented a premium condo 2 bedroom hot tub to spend a weekend with our friends that were visiting us in Colorado from another country. The place was nice and clean,very spacious for the four of us. One bedroom was in the main floor with a full bathroom.( not inside the room). The second room was in the second floor",5,1
Neat and Clean,We only stayed one night but were pleased that the room was clean and quite. Bed was comfortable and the breakfast was good. The staff we encountered were all friendly. Had a good small town friendly atmosphere.,4,1
Caltrip,"Hampton Inn was, as usual, clean, staff was friendly. Breakfast was adequate. We had stayed at this facility approximately 3 years ago and found that it hasn't changed. Still a nice place to visit. Staff very willing to make any change to keep customer happy.",4,1
Great place!,"Stayed 2 nights. Nice big room, very quiet room! Was on top floor. They have a happy hour from 5:30pm to 7 pm. Lots of food more like dinner than hor'd'ors. Drinks food, free popcorn and fountain drinks. NICE HOT breakfast",5,1
Comfortable room good food!,"Our family of five spent two nights here on our way back to MO from UT. Beds were comfortable, bathroom was clean, breakfast and dinner menu were great. Pool and hot tub were clean and well maintained. Staff was friendly and attentive.",5,1
Fantastic hotel,We stayed one what was a shame. When we checked in we spoke to Ian on desk this man was so helpful. We had free dinner. Three drinks free. Also free soft drinks. The hotel is so good. The spa and pool. Excellent. ,5,1
A well-run hotel with lots of extras,"We stayed in a king bed suite here while settling on our home in Colorado Springs. It was nice to have a spacious living area (with sofa bed for our son) and comfortable, quiet bedroom. ",4,1
Great service and value,"Another great trip at the Drury Inn. Clean and nice rooms and common areas. All of the female staff were very nice and friendly. Indoor pool and hot tub. Kickback is a nice feature. Great snacks/food in the evening: hot dogs, nachos, chicken fingers, salad",5,1
A little pricey but worth it.,"Clean, spacious, and quiet rooms. Very comfortable accommodations. Breakfast was good for a free buffet style breakfast. I will stay here again. I will also recommend this hotel to friends. This is in a good location to take in the sites around the area.",5,1
Excels in every way,"The lobby is large and beautifully decorated. The desk staff friendly. The room is well appointed with a great bed and pillows. The bathroom is great really loved the soft towels and the walk into shower with wall dispensers for soap, shampoo and conditioner",5,1
Friendliest Staff in Colorado Springs,Drury Inn Suites near the AF Academy is a GEM!! The staff is SUPER friendly! So are the rooms!The Breakfast is SUPER great variety - and so is the EVENING FEAST! and INCLUSIVE LIQUIDS!!!,5,1
Board Meeting,"Our organization arranged for our out-of-town Board members to stay at Drury Inn Suites for a Board Meeting, which we also held in one of the Drury Conference Rooms. The management and staff of the Drury Inn provided excellent service and accommodations",5,1
Great Service,Our stay was great at the Drury Inn. Stayed on the 7th floor in a king deluxe. The staff were all very nice and courteous. The breakfast was good as well. Also offered free food and drinks from 530pm-7pm. The Hearty Chili was very good.,5,1
Lovely stay at a Drury Inn again,"We stayed at the Drury Inn and Suites Colorado Springs for one night. We specifically chose the Drury Inn chain due to a good experience at the Drury Inn Denver Tech Center last summer. We were not disappointed. The hotel was clean, modern",5,1
Wish the was more Drury Hotels,"We were introduced to Drury Hotels by an acquaintance. Now we stay everywhere that has one on our trip route. Colorado Springs is a good example of the best of the best. It is beyond clean the staff are helpful, friendly, and polite.",5,1
