prediction|original|review
1|-1|The hotel is clean, comfortable, cheap, has a small indoor/outdoor pool, large hot tub, provides extras like free breakfast, free dinner, free wi-fi, and free popcorn. The food wasn't great - a lot of mushy pasta at dinner - baked potatoes were good but
-1|-1|We stayed here after traveling through Rocky Mountain Nat'l Park. Not a chain motel. The room was small, but very clean. Very friendly staff. Bed was very comfortable. Room had a microwave and refrigerator. TV was low def (not HD). Wifi was spotty and somewhat slow. Continental breakfast was light - sweet rolls, donuts, muffins, coffee, cereal - no orange
-1|-1|accused of smoking in my room. only young black kids in the hotel. ima 24 year old well put together chef. needed time away with my girlfriend. Managers and loss prevention kept harassing us. Sunday morning knocked on my door and walked in without my consent and literally said oh i though you were smoking in here and walked out. I was hearing noise all night which i complained about, but nobody did anything about it: yet you're worried about if im smoking when your hotel is Loud and your staff is racist and rude because all of my greetings did not seem genuine. your loss prevention is not an army and i should sue for grievance. I complained about loud banging all morning and nobody did anything or come to see if it was still happening. Instead I got your army of LP at my door accusing me of smoking once again. without even saying sorry for bothering you. I WILL NEVER STAY HERE AGAIN AND I AM A MARRIOT REWARDS MEMBER. There were stains on my bed which i let go. my towels were not clean so i requested new ones. You service was so bad , and biased my girlfriend told me not to complain about the towels or buy from your marketplace. This is going to get solved in a court matter. This was the worst experience i have had at a hotel and i travel frequently.
-1|-1|The issues started the first night. Do Not stay in room 1501. Although the room seems like it is a bit away from the elevators the bed room is right next to the elevator shaft. This would be fine if it was just elevator noise but every time it went up and down the banged like the someone was knocking on the door loudly. All night all day whenever someone was in the elevator. I complained the first night to the front desk and actually a maintenance guy, Jared. He said that Otis elevator was actually on site fixing the elevators. They actually came to room but could not figure out where the noise was coming from. I did mention it again on Wednesday but they did not do anything. They could have at least moved me to another room. On Friday I was supposed to meet someone for dinner. I did not have his cell though. I had stepped out of the room for a bit, unfortunately right when he called at 630. He tried again at 7. The staff did not leave a message on my room phone (or my cell/email which they had). At 9 I received a call from the front desk that I received 2 calls at 630 and 7. When I asked why I am just hearing about it at 9, the woman said the note got lost and they had just found it. Oh did I say the pool was closed. Lastly, 1501 is a joined room and on Friday night, at 11 a family decided to have a fight where someone was slapped and the mother and little daughter started crying. I called the office but as far as I know no one came up or called. Just not a good stay.
-1|-1|Parking was horrible, somebody ran into my rental car while staying there. I didn't get to try the breakfast, I was there for business so the restaurant opened to late for the business world to enjoy, I had to asked for coffee for my room, And the items in the vending machine were stale.,
-1|-1|If you get the room that they advertised on the website and for what you paid, you may be lucky.If you stay many days , they will give you the not so good rooms.Nobody wants to stay in these rooms: low light/dark rooms, near pool, noisy, smelly bathrooms, or difficult access. If you stay one-two days you will get probably... ,
-1|-1|We recently stayed at this hotel on a trip to Lexington with other friends. Our group shared the feeling that we would not be back. We routinely waited more than 10 minutes for elevators. The workout room is tiny with 2 treadmills and 2 cheap elliptical machines that rocked off the floor when in use. Everything about the hotel seemed... ,
-1|-1|I reserved a room a week in advance, knowing a motel is usually not great accommodations but we were just passing thru during the longest yard sale. I was quoted 50 over the phone and given our room numbers as a confirmation number and she...
-1|-1|Hello, I have traveled a lot and abroad and by far this is the worst place i have ever booked. i paid got the key and walked in. OMG the place is HORRIBLE. this place is one of those hotels they show in horror movies where they kill people. I kid you not! this place is horrible. i only stayed...
-1|-1|This Hotel, formerly a prestigious bank, may be attractive for history buffs, but is an expensive and horrible place to stay when you visit New Orleans. The rooms are SMALL, unattractive, with terrible old bedding, virtually without windows or amenities. Parking was 38/day, and it took 35 min. to get your vehicle. Almost no lobby or sitting area, the restaurant was small, understaffed, with a severely limited menu. The commode was crammed into a tiny bathroom, and we had to call down to get them to bring up an old beat-up refrigerator. There are SO Many other more attractive places to stay in New Orleans, less expensive, I would avoid this place like the plague.
-1|-1|The Whitney Hotel is ideally located to see most of the sights of New Orleans. I would say it is a place to lay your head but I found the restaurant poor in terms of food choice and quality. The room phone did not work, no room service offered and the room can be noisy as it overlooks a major road. Overall, I think we can do better on my next trip to New Orleans
-1|-1|I will never consider staying at the Whitney after my epic night of uncomfortable room temperatures and a night's sleep on the hardest, cheapest mattress I've every experienced. The hotel staff was nonexistent and are complaints were only listened to AFTER check-out.,
-1|-1|The hotel was alright, this was my second stay at this hotel after my first experience I recieved a comp night to get a better experience. My second experience was about the same, rude staff, bugs in room, room wasn't cleaned when asked and many other things to add on this. For the price of the nights I did pay for, it would be been better to go to another hotel with more comfortable beds.
-1|-1|Unfortunately, it is not a place to have confidence. One of my children left a small amount of money in the car. When we left the hotel we realized they had stolen it. Although it was little amount of money, the fact is equally repudiable.
-1|-1|My husband and I stayed for 4 nights with my 13 month old son and our experience was disappointing from the moment we checked in. When we made our reservation on the phone, we requested a crib for my son and were told it would be no problem. When we arrived we were shocked to see a pack-n-play rather than a crib and they didn't even provide us with a sheet. We called the front desk and demanded a crib. After a few hours, a crib was brought to our room... without even a crib sheet. After many phone calls to the front desk asking for a crib sheet we received a full size sheet for a crib. Apparently not a single person who worked there even knows what a crib sheet is. In addition to the crib and sheet fiasco, the carpeting in our suite was buckling and we almost tripped over it several times. There were also some sink holes in the bedroom. It seems that the hotel is about to undergo a much needed renovation, so hopefully they can also improve their customer service. The location of the hotel was the main reason we chose it, and it does have the potential to be a lovely boutique type hotel with some updates.
-1|-1|The staff was courteous, friendly and helpful. However, the hotel itself seemed to be a hodgepodge of various updates through the years. It seems staff has been trained to blame it on Katrina but when you stay its clear that the owner has not sufficiently maintained the facility through the years and when maintenance was performed, done so at the cheapest cost no matter how unsightly. the hotel has a lot of potential but is not a boutique by any stretch of the imagination. the windows are original so they are thin. curtains did not properly open and close. AC was loud and inconsistent at keeping a steady temp. using an old mercury thermostat. continental breakfast was paltry compared to others hotels
-1|-1|We booked this hotel as it offered close proximity to the the centre of New Orleans and it offered disabled facilities in 'superior' rooms. We arrived late because we took the Amtrak from New York 36hrs we arrived at 21.30, very tired. Expecting a decent night sleep we were told they did not have a double room with a disabled friendly shower but a single room on the 7th Floor(they had elevators) with the correct shower. They asked was this acceptable We were so tired we said yes Ok. We were then informed that we would be charges an additional 50 per night for 12 nights for 'extras'. Extras we asked what extras/ Food, movies, drinks, breakfast.We were so tired we said OK. They then hit my card for 3000 - before leaving London we had agreed with our card company that no transaction would exceed 2800 as we had had stolen/lost cards in the past. We had forgotten this limit and the receptionist said the card was rejected. We could not work out why this had happened. So we paid for 1 night with the intention to sort the problem in the morning. However when we went up to the room we were delighted with the bathroom and felt that the size of the room was just about adequate. I was still upset about the card being rejected so I called the 'local' number of my bank. They confirmed there were no problems but reminded me of the limit I had set. As the room did not have a fridge or safe and as we were so tired I decided to deal with the problems in the morning. The following day I went to reception and the manager (i presume) allowed me to pay the bill account on 2 cards saying he understood why this had happened. I asked anbot a fridge he said it would be delivered. There was no safe available. I was not asked to pay the 'extra' this time so payment was made of a further 2200 split on the 2 cards. We went out and on our return found a fridge of 3ft square in the bedroom - so large that it hampered access to the bathroom. We had eaten out so thought we would watch a movie. The TV in our room refused to show us what was available so I rang reception - only no the line was still connected to my European Bamk on the local number. This phone call connection lasted 3 days.and paid 17.98 3minute . So, in spite of my disability I went down to reception and was told that they did not offer movies! As i had paid I could not afford to move and so we were stuck in this hotel. Finally on our last day no one helped with the luggage. I would write a lot but no more room
-1|-1|We have stayed at The Whitney before, but had no idea that the hotel no longer had a bar nor restaurant. This is a sad commentary, since we enjoyed the hotel last year, and were looking forward to another visit. The staff was again cooperative, understanding, and friendly. But, the sink had only a trickle for water flow, and the engineer could not fix the problem. And, we were there for 5 ngts.
