prediction|original|review
-1|-1|Internet koji nije radio, i kupatilo koje je stalno bilo mokro.
-1|-1|Izgrađena je zgrada ispred prozora i ne postoji više pogled na jezero, što je velika šteta jer je soba jako blizu jezera :(
-1|-1|Tamna soba
-1|-1|Nedostajao nam je sto za obedovanje. Bilo je vetrovito, pa nismo u tu svrhu mogli da koristimo onaj na terasi
-1|-1|Soba je mala.
-1|-1|Doručka nema u smeštaju niti bilo kakve hrane. preporuka je da to ubace kao deo ponude
-1|-1|spartanska oprema sobe i sto nema mogucnosti za dorucak.
-1|-1|Cistoca nije bas na vrhunskom nivou. I losa strana je sto u tom apartmanu vec neko zivi, ostavljena garderoba, obuca, frizider sa necijom hranom,pa zbog toga nemamo neki bas lep utisak.
-1|-1|Veoma prljav, pun mrava, moralo bi bolje da se održava
-1|-1|krevet neudoban, u kupatilu cistoca nije na zavidnom nivou i neprijatan miris iz kanalizacije.
-1|-1|soba je bila na zadnjem spratu bez podkrovlja i bez klime. Prozor vecimon smo drzali zatvoran zbog komaraca. Gotovo nemoguce je bilo spavati na toj vrucini
-1|-1|Puno para samo za prenoćište sa upotrebom zajedničkog kupatila
-1|-1|Kada se ulazi u dvoriste blato je do grla, kuca nema fasadu, nismo ni zeleli da ulazimo u sobe jer je prvi utisak bio uzasan.
-1|-1|nista mi se nije svidjelo .Nemogu vjerovati da se takav objekat moze izdavati Vozio sam 500 km do objekta a morao sam spavati u autu to je sramota prevaren sam
-1|-1|Dorucak nismo uopste dobili
-1|-1|Posteljina nije bila oprana - to je NAJVECA zamerka. Sve ostalo je prihvatljivo, cak i kreveti koji skripe.
-1|-1|Higijena bas losa.
-1|-1|Što ne postoji kuhinja a bili smo sa malom bebom. I sto smo bili skroz na spratu gde su stepenice betonske sa prostirkom veoma nebezbedno. Takodje nismo imali terasu.
-1|-1|Objekat nije najčistiji, prašine ima na sve strane. Ima dva kupatila i to dele svi posetioci.
-1|-1|Frižider je samo jedan u celom objektu i mislim da nije skoro opran.
-1|-1|Posteljina se ne menja kada posetioci napuste sobu, već se samo nameste kreveti i ko zna koliko ljudi posle spava u istoj toj posteljini.
-1|-1|Čistoća toaleta je lošaa. Nema roletni na prozorima, pa je jako velika svetlost u sobi
