|sentence|word|label
0|0|Super|O
1|0|smestaj|O
2|0|.|O
3|0|.|O
4|0|.|O
5|0|.|O
6|0|ima|O
7|0|sve|O
8|0|sto|O
9|0|je|O
10|0|potrebno|O
11|0|,|O
12|0|a|O
13|0|za|O
14|0|zimski|O
15|0|period|O
16|0|apartman|O
17|0|topao|O
18|0|-|O
19|0|Vrh|O
20|0|.|O
21|0|Jezero|O
22|0|je|O
23|0|na|O
24|0|par|O
25|0|koraka|O
26|0|,|O
27|0|sto|O
28|0|znaci|O
29|0|i|O
30|0|centar|O
31|0|,|O
32|0|al|O
33|0|u|O
34|0|krugu|O
35|0|apartmankog|O
36|0|naselja|O
37|0|uvek|O
38|0|je|O
39|0|tisina|O
40|0|sto|O
41|0|mi|O
42|0|je|O
43|0|najbitnije|O
44|0|.|O
45|0|Vlasnica|O
46|0|Olja|O
47|0|je|O
48|0|covek|O
49|0|kojeg|O
50|0|treba|O
51|0|upaznati|O
52|0|.|O
53|0|.|O
54|0|.|O
55|0|.|O
56|0|srdacna|O
57|0|,|O
58|0|druzeljubiva|O
59|0|,|O
60|0|usluzljiva|O
61|0|itd|O
62|0|.|O
63|0|Znaci|O
64|0|,|O
65|0|ni|O
66|0|ste|O
67|0|u|O
68|0|centru|O
69|0|a|O
70|0|kao|O
71|0|da|O
72|0|jeste|O
73|0|,|O
74|0|ali|O
75|0|bez|O
76|0|onog|O
77|0|svakodnevnog|O
78|0|.|O
79|0|.|O
80|0|.|O
81|0|.|O
82|0|urbanog|O
83|0|.|O
84|0|Cool|O
85|1|Olivera|O
86|1|:|O
87|1|)|O
88|1|Puno|O
89|1|putujemo|O
90|1|,|O
91|1|ali|O
92|1|ovakvog|O
93|1|domaćina|O
94|1|nismo|O
95|1|imali|O
96|1|.|O
97|1|Brižna|O
98|1|,|O
99|1|pažljiva|O
100|1|,|O
101|1|od|O
102|1|pomoći|O
103|2|Apartman|O
104|2|prelep|O
105|2|,|O
106|2|ispunjava|O
107|2|potrebe|O
108|2|cele|O
109|2|porodice|O
110|2|,|O
111|2|rado|O
112|2|cemo|O
113|2|ponovo|O
114|2|doci|O
115|3|Smeštaj|O
116|3|uredan|O
117|3|i|O
118|3|čist|O
119|3|,|O
120|3|Olja|O
121|3|kao|O
122|3|domaćin|O
123|3|izvanredna|O
124|3|,|O
125|3|niko|O
126|3|nam|O
127|3|još|O
128|3|nije|O
129|3|bio|O
130|3|na|O
131|3|usluzi|O
132|3|kao|O
133|3|ona|O
134|3|.|O
135|3|Konačno|O
136|3|smo|O
137|3|i|O
138|3|za|O
139|3|u|O
140|3|buduće|O
141|3|našli|O
142|3|smeštaj|O
143|3|koji|O
144|3|nam|O
145|3|odgovara|O
146|3|.|O
147|4|lokacija|O
148|4|i|O
149|4|opremljenost|O
150|4|objekta|O
151|4|.|O
152|4|objekat|O
153|4|je|O
154|4|opremljen|O
155|4|svim|O
156|4|potrebnim|O
157|4|sadrzajima|O
158|4|.|O
159|4|namestaj|O
160|4|kvalitetan|O
161|4|i|O
162|4|funkcionalan|O
163|4|.|O
164|4|posudja|O
165|4|i|O
166|4|sredstava|O
167|4|za|O
168|4|ciscenje|O
169|4|u|O
170|4|izobilju|O
171|4|.|O
172|4|prelepa|O
173|4|terasa|O
174|4|.|O
