title|review|sentiment
odlicno|Super smestaj....ima sve sto je potrebno,a za zimski period apartman topao-Vrh. Jezero je na par koraka,sto znaci i centar, al u krugu apartmankog naselja uvek je tisina sto mi je najbitnije. Vlasnica Olja je covek kojeg treba upaznati....srdacna, druzeljubiva,usluzljiva itd. Znaci, ni ste u centru a kao da jeste, ali bez onog svakodnevnog....urbanog. Cool|1
Izuzetan|Olivera :) Puno putujemo, ali ovakvog domaćina nismo imali. Brižna, pažljiva, od pomoći|1
Izuzetan|Apartman prelep, ispunjava potrebe cele porodice, rado cemo ponovo doci|1
Izuzetan|Smeštaj uredan i čist, Olja kao domaćin izvanredna, niko nam još nije bio na usluzi kao ona. Konačno smo i za u buduće našli smeštaj koji nam odgovara.|1
izuzetan dozivljaj.|lokacija i opremljenost objekta. objekat je opremljen svim potrebnim sadrzajima. namestaj kvalitetan i funkcionalan. posudja i sredstava za ciscenje u izobilju. prelepa terasa.|1
izuzetan dozivljaj.|Trebalo bi postaviti kontejnere u krugu objekta (recimo na kraju ulice Belih rada) a od opreme u objektu dodati mikrotalasnu pecnicu.|-1
Феноменално!|Смештај је изузетан као и локација! Уредно, чисто ! Све похвале!|1
Izvanredan|Lokacija, domaćica, ambijent|1
ODLICNO|svaka preporuka|1
Izuzetan|Mnogo reči a sve stanu u - savršeno. Odmor koji će moji klinci pamtiti zauvek. Mi smo svoje mesto na Zlatiboru našli a i novu prijateljicu.|1
Izuzetan|Izvanredan smeštaj i ljubaznost domaćina|1	
Dobar|Higijena, dvoriste…|1
Dobar|Slab pritisak vode, slab wi fi|-1
Prijatan|Nije mi se dopalo sto u apartmanu neradesve sijalice i poprilično je mracno a i trava je neursdna nije pokosena|-1	
Prijatan|Dečko za recepcijom je zaista preljubazan i susretljiv. Pobrinuo se da imamo parking, mogli smo ranije da se presvucemo i ostavimo stvari, pobrinuo se da nam nadje taxi. Apartman je dovoljno veliki, a kuhinja je dobro opremljena.|1	
Resite problem mrava!|Najveca zamerka je na veliki broj mrava u apartmanu. To je islo dotle da celu noc nisam mogla normalno da spavam posto su mravi gmizali po meni. To je zaista neprihvatljivo i za najgore hostele, a ne za ovakav smestaj. Ujutru sam mrave izbacivala iz torbe, sa laptopa itd. U smestaju je uvece hladno, dnevnu sobu i kuhinju greje samo jedan mali radijator sto nije dovoljno. Takodje na slikama smestaja ima bazen, ali je to bazen koji je u Milmari hotelu udaljenom 2km od vile, a ovoga puta nije ni radio sto nigde nije pisalo prilikom rezervacije.|-1
Prijatan|Apartman je nov i cist. Pogled je divan. Prevoz do centra dobro funkcionise.  Osoblje je fino.|1
Neutralno|Bilo bi pozeljno da svaka soba poseduje cajnik i mikrotalasnu pec i da su parking mesta bolje definisana i sredjena.|0	
Negativno|..nismo dobili apartman koji smo rezervisali uz objašnjenje da im je "gužva" i da se u istoj nisu baš najbolje snašli.Jedina svetla tačka je bila gospođa Biljana koja nas je dočekala i pokušala da ublaži propuste od njenih kolega..i još da napomenem da je gospođa Biljana radnik na recepciji , spremačica , domar , domaćin..|-1
Izuzetan|Čist, uređen, moderan i udoban smeštaj. Idealan za porodice sa decom. Peđa koji nas je dočekao nam je dao dosta korisnih informacija i bio sve vreme na raspolaganju. Lokacija odlična. Generalno Divčibare su pravi odmor za dušu - čist vazduh, bez gužve, sadržaja taman koliko treba.|1
Izuzetno|Izuzetna blizina planine sa lepim skijalištima! Ljubaznost osoblja, meštana, radnika, skijalištima I po restoranima!|1	
Izuzetno|Idealan produženi vikend! 	Sve! Istakli bi ljubaznost domaćina!|1
Veoma dobar|Veoma lep,čist i udoban smeštaj.Domaćin ljubazan.Sve preporuke za boravak sa decom.|1
Odmor|Objekat i lokacija.|1	
Prezadovoljan sam uslugom!!!!|Apartman je vrlo čist,udoban,topao. Na lepom je mestu. Prijatno i za odrasle i za decu. Sve pohvale zaista! Sigurno ćemo opet doći!|1	
Izuzetan|Sve je bilo perfektno. Domaćini veoma ljubazni, srdačni i uvek dostupni. Za svaku moguću preporuku i pohvalu!|1	
Prijatan boravak na Divcibarama|Odlicna lokacija, dogovor sa DivciBarom za rucak sa povlascenim cenama.|1
Izuzetno|Pravi odmor za zaposlene, šetnja i boravak u prirodi Sve vam je blizu i mir i tišina|1
Neutralno|Vremenski uslovi na koje domaćin nije mogao da utiče😁|0
Izuzetan|Čistoća, ljubaznost domaćina. Lokacija je odlična i okolina apartmana je odlična.|1
Lose|Manjak TV kanala, manjak posudja.|-1
Izuzetan|Lepa vikendica na dva minuta od Mećavnika, ljubazni domaćini, ništa nam nije falilo u vikendici, lep i prijatan porodični odmor od pet dana.|1
Izuzetan|Sjajna lokacija, prelepa i topla brvnara i divni domaćini. Baš smo uživali.|1
Miran odmor u prirodi!|Odlično mesto za odmor! Uživali u tišini i prelepoj prirodi. Za one koji to vole, dodatnu udobnost stvara i peć na drva. U kući ima dovoljno posuđa i začina kao i svega što može da vam zatreba a ni dragstori nisu daleko..|1
Lose|Francuski ležaj je u sobi na spratu iako postoji još jedna soba u prizemlju koja je dovoljno velika za takav krevet i što bi zbog grejanja bilo prijatnije u zimskom periodu.|-1
Izvanredan|Lokacija je odlična.|1
