|title|review|sentiment
0|odlicno|super smestaj sve sto potrebno a zimski period apartman topao vrh jezero par koraka sto znaci centar krugu apartmankog naselja uvek tisina sto najbitnije vlasnica olja covek kojeg treba upaznati srdacna druzeljubiva usluzljiva itd znaci ni centru a ali bez onog svakodnevnog urbanog cool|1
1|Izuzetan|olivera odlicno puno putujemo ali ovakvog domacina nismo brizna pazljiva pomoci|1
2|Izuzetan|apartman prelep ispunjava potrebe cele porodice rado ponovo doci|1
3|Izuzetan|smestaj uredan cist olja domacin izvanredna niko jos nije usluzi konacno buduce nasli smestaj odgovara|1
4|izuzetan dozivljaj.|lokacija opremljenost objekta objekat opremljen svim potrebnim sadrzajima namestaj kvalitetan funkcionalan posudja sredstava ciscenje izobilju prelepa terasa|1
5|izuzetan dozivljaj.|trebalo postaviti kontejnere krugu objekta recimo kraju ulice belih rada a opreme objektu dodati mikrotalasnu pecnicu|-1
6|Феноменално!|смештај је изузетан као и локација уредно чисто све похвале|1
7|Izvanredan|lokacija domacica ambijent|1
8|ODLICNO|svaka preporuka|1
9|Izuzetan|mnogo reci a sve stanu savrseno odmor moji klinci pamtiti zauvek mesto zlatiboru nasli a novu prijateljicu|1
10|Izuzetan|izvanredan smestaj ljubaznost domacina|1
11|Dobar|higijena dvoriste…|1
12|Dobar|slab pritisak vode slab wi fi|-1
13|Prijatan|nije dopalo sto apartmanu neradesve sijalice poprilicno mracno a trava neursdna nije pokosena|-1
14|Prijatan|decko recepcijom zaista preljubazan susretljiv pobrinuo parking ranije presvucemo ostavimo stvari pobrinuo nadje taxi apartman dovoljno veliki a kuhinja dobro opremljena|1
15|Resite problem mrava!|najveca zamerka veliki broj mrava apartmanu islo dotle celu noc nisam mogla normalno spavam posto mravi gmizali po zaista neprihvatljivo najgore hostele a ne smestaj ujutru mrave izbacivala torbe laptopa itd smestaju uvece hladno dnevnu sobu kuhinju greje samo jedan mali radijator sto nije dovoljno slikama smestaja bazen ali bazen milmari hotelu udaljenom 2km vile a ovoga puta nije ni radio sto nigde nije pisalo prilikom rezervacije|-1
16|Prijatan|apartman nov cist pogled divan prevoz centra dobro funkcionise osoblje fino|1
17|Neutralno|bilo pozeljno svaka soba poseduje cajnik mikrotalasnu pec parking mesta bolje definisana sredjena|0
18|Negativno|nismo dobili apartman rezervisali objasnjenje guzva istoj nisu bas najbolje snasli jedina svetla tacka gospoda biljana docekala pokusala ublazi propuste njenih kolega jos napomenem gospoda biljana radnik recepciji spremacica domar domacin|-1
19|Izuzetan|cist ureden moderan udoban smestaj idealan porodice decom peda docekao dao dosta korisnih informacija sve vreme raspolaganju lokacija odlicna generalno divcibare pravi odmor dusu cist vazduh bez guzve sadrzaja taman treba|1
20|Izuzetno|izuzetna blizina planine lepim skijalistima ljubaznost osoblja mestana radnika skijalistima po restoranima|1
21|Izuzetno|idealan produzeni vikend 	sve istakli ljubaznost domacina|1
22|Veoma dobar|veoma lep cist udoban smestaj domacin ljubazan sve preporuke boravak decom|1
23|Odmor|objekat lokacija|1
